"Population by Mother tongue","Number"
"Bhojpuri",""
"Female","17178"
"Male","16402"
"","33580"
"Doteli",""
"Female","14"
"Male","17"
"","31"
"Gurung",""
"Female","6"
"Male","6"
"","12"
"Magar",""
"Female","13"
"Male","17"
"","30"
"Maithili",""
"Female","687"
"Male","672"
"","1359"
"Nepali",""
"Female","132"
"Male","114"
"","246"
"Not Reported",""
"Female","12"
"Male","9"
"","21"
"Others",""
"Female","28"
"Male","24"
"","52"
"Tharu",""
"Female","31"
"Male","33"
"","64"
"Urdu",""
"Female","17"
"Male","17"
"","34"
