"Population by Mother tongue","Number"
"Bhojpuri",""
"Female","17362"
"Male","17958"
"","35320"
"Bhujel",""
"Female","60"
"Male","60"
"","120"
"Doteli",""
"Female","18"
"Male","11"
"","29"
"Gurung",""
"Female","13"
"Male","11"
"","24"
"Magar",""
"Female","24"
"Male","20"
"","44"
"Maithili",""
"Female","1466"
"Male","1576"
"","3042"
"Nepali",""
"Female","873"
"Male","781"
"","1654"
"Newar",""
"Female","37"
"Male","43"
"","80"
"Not Reported",""
"Female","36"
"Male","36"
"","72"
"Others",""
"Female","29"
"Male","14"
"","43"
"Rai",""
"Female","11"
"Male","14"
"","25"
"Rajbanshi",""
"Female","12"
"Male","15"
"","27"
"Sherpa",""
"Female","21"
"Male","16"
"","37"
"Tharu",""
"Female","2486"
"Male","2224"
"","4710"
"Urdu",""
"Female","6"
"Male","8"
"","14"
