"Population by Mother tongue","Number"
"Avadhi",""
"Female","13"
"Male","20"
"Bhojpuri",""
"Female","22335"
"Male","21511"
"Bhujel",""
"Female","69"
"Male","65"
"Doteli",""
"Female","33"
"Male","32"
"Ganagai",""
"Female","14"
"Male","8"
"Gurung",""
"Female","34"
"Male","29"
"Hindi",""
"Female","37"
"Male","53"
"Limbu",""
"Female","12"
"Male","7"
"Magar",""
"Female","90"
"Male","69"
"Maithili",""
"Female","1296"
"Male","1305"
"Nepali",""
"Female","3213"
"Male","2964"
"Newar",""
"Female","101"
"Male","101"
"Not Reported",""
"Female","21"
"Male","23"
"Others",""
"Female","20"
"Male","9"
"Rai",""
"Female","28"
"Male","19"
"Rajsthani",""
"Female","24"
"Male","30"
"Santhali",""
"Female","64"
"Male","67"
"Sign Language",""
"Female","11"
"Male","13"
"Sunuwar",""
"Female","15"
"Male","7"
"Tamang",""
"Female","46"
"Male","65"
"Tharu",""
"Female","1473"
"Male","1408"
"Urdu",""
"Female","44"
"Male","47"
