"Population by Single Year of Age","Number"
"0",""
"Female","416"
"Male","445"
"1",""
"Female","407"
"Male","451"
"10",""
"Female","951"
"Male","952"
"11",""
"Female","518"
"Male","525"
"12",""
"Female","840"
"Male","904"
"13",""
"Female","689"
"Male","610"
"14",""
"Female","702"
"Male","698"
"15",""
"Female","771"
"Male","739"
"16",""
"Female","756"
"Male","776"
"17",""
"Female","598"
"Male","608"
"18",""
"Female","738"
"Male","808"
"19",""
"Female","369"
"Male","400"
"2",""
"Female","490"
"Male","510"
"20",""
"Female","810"
"Male","780"
"21",""
"Female","348"
"Male","392"
"22",""
"Female","708"
"Male","679"
"23",""
"Female","537"
"Male","566"
"24",""
"Female","559"
"Male","795"
"25",""
"Female","890"
"Male","949"
"26",""
"Female","527"
"Male","648"
"27",""
"Female","370"
"Male","531"
"28",""
"Female","765"
"Male","703"
"29",""
"Female","222"
"Male","316"
"3",""
"Female","546"
"Male","545"
"30",""
"Female","999"
"Male","905"
"31",""
"Female","146"
"Male","225"
"32",""
"Female","505"
"Male","440"
"33",""
"Female","323"
"Male","226"
"34",""
"Female","252"
"Male","191"
"35",""
"Female","866"
"Male","931"
"36",""
"Female","280"
"Male","277"
"37",""
"Female","166"
"Male","186"
"38",""
"Female","512"
"Male","370"
"39",""
"Female","147"
"Male","133"
"4",""
"Female","576"
"Male","604"
"40",""
"Female","762"
"Male","889"
"41",""
"Female","81"
"Male","154"
"42",""
"Female","261"
"Male","308"
"43",""
"Female","203"
"Male","119"
"44",""
"Female","171"
"Male","116"
"45",""
"Female","569"
"Male","759"
"46",""
"Female","161"
"Male","131"
"47",""
"Female","104"
"Male","116"
"48",""
"Female","321"
"Male","269"
"49",""
"Female","91"
"Male","72"
"5",""
"Female","643"
"Male","763"
"50",""
"Female","579"
"Male","685"
"51",""
"Female","62"
"Male","70"
"52",""
"Female","158"
"Male","213"
"53",""
"Female","127"
"Male","93"
"54",""
"Female","103"
"Male","69"
"55",""
"Female","408"
"Male","503"
"56",""
"Female","109"
"Male","130"
"57",""
"Female","67"
"Male","86"
"58",""
"Female","218"
"Male","162"
"59",""
"Female","64"
"Male","56"
"6",""
"Female","629"
"Male","670"
"60",""
"Female","465"
"Male","610"
"61",""
"Female","51"
"Male","55"
"62",""
"Female","126"
"Male","101"
"63",""
"Female","102"
"Male","44"
"64",""
"Female","55"
"Male","36"
"65",""
"Female","341"
"Male","408"
"66",""
"Female","42"
"Male","59"
"67",""
"Female","47"
"Male","42"
"68",""
"Female","102"
"Male","120"
"69",""
"Female","17"
"Male","43"
"7",""
"Female","663"
"Male","650"
"70",""
"Female","289"
"Male","310"
"71",""
"Female","28"
"Male","17"
"72",""
"Female","71"
"Male","48"
"73",""
"Female","24"
"Male","31"
"74",""
"Female","19"
"Male","11"
"75",""
"Female","153"
"Male","155"
"76",""
"Female","20"
"Male","18"
"77",""
"Female","9"
"Male","13"
"78",""
"Female","32"
"Male","17"
"79",""
"Female","7"
"Male","5"
"8",""
"Female","772"
"Male","839"
"80",""
"Female","100"
"Male","87"
"81",""
"Female","4"
"Male","3"
"82",""
"Female","9"
"Male","3"
"83",""
"Female","3"
"Male","5"
"84",""
"Female","3"
"Male","4"
"85",""
"Female","70"
"Male","55"
"9",""
"Female","464"
"Male","510"
