"Population by Mother tongue","Number"
"Avadhi",""
"Female","13"
"Male","22"
"Bhojpuri",""
"Female","14248"
"Male","14071"
"Bhujel",""
"Female","6"
"Male","8"
"Doteli",""
"Female","46"
"Male","49"
"Gurung",""
"Female","9"
"Male","5"
"Magar",""
"Female","54"
"Male","46"
"Maithili",""
"Female","546"
"Male","557"
"Nepali",""
"Female","1495"
"Male","1302"
"Newar",""
"Female","26"
"Male","21"
"Others",""
"Female","25"
"Male","24"
"Tharu",""
"Female","2608"
"Male","2212"
"Urdu",""
"Female","15"
"Male","10"
