"Population by Single Year of Age","Number"
"0",""
"Female","398"
"Male","453"
"1",""
"Female","410"
"Male","443"
"10",""
"Female","770"
"Male","843"
"11",""
"Female","614"
"Male","680"
"12",""
"Female","783"
"Male","824"
"13",""
"Female","690"
"Male","738"
"14",""
"Female","765"
"Male","701"
"15",""
"Female","737"
"Male","745"
"16",""
"Female","733"
"Male","678"
"17",""
"Female","725"
"Male","661"
"18",""
"Female","795"
"Male","715"
"19",""
"Female","565"
"Male","499"
"2",""
"Female","452"
"Male","446"
"20",""
"Female","728"
"Male","609"
"21",""
"Female","624"
"Male","404"
"22",""
"Female","781"
"Male","471"
"23",""
"Female","604"
"Male","420"
"24",""
"Female","624"
"Male","406"
"25",""
"Female","760"
"Male","476"
"26",""
"Female","556"
"Male","366"
"27",""
"Female","530"
"Male","356"
"28",""
"Female","653"
"Male","379"
"29",""
"Female","333"
"Male","241"
"3",""
"Female","465"
"Male","446"
"30",""
"Female","801"
"Male","483"
"31",""
"Female","312"
"Male","206"
"32",""
"Female","486"
"Male","337"
"33",""
"Female","384"
"Male","228"
"34",""
"Female","372"
"Male","216"
"35",""
"Female","714"
"Male","479"
"36",""
"Female","323"
"Male","264"
"37",""
"Female","273"
"Male","190"
"38",""
"Female","389"
"Male","251"
"39",""
"Female","239"
"Male","164"
"4",""
"Female","472"
"Male","533"
"40",""
"Female","688"
"Male","509"
"41",""
"Female","184"
"Male","143"
"42",""
"Female","342"
"Male","260"
"43",""
"Female","250"
"Male","176"
"44",""
"Female","223"
"Male","161"
"45",""
"Female","555"
"Male","462"
"46",""
"Female","214"
"Male","179"
"47",""
"Female","215"
"Male","165"
"48",""
"Female","288"
"Male","220"
"49",""
"Female","163"
"Male","131"
"5",""
"Female","522"
"Male","613"
"50",""
"Female","509"
"Male","438"
"51",""
"Female","132"
"Male","151"
"52",""
"Female","227"
"Male","189"
"53",""
"Female","143"
"Male","156"
"54",""
"Female","159"
"Male","124"
"55",""
"Female","326"
"Male","297"
"56",""
"Female","137"
"Male","150"
"57",""
"Female","156"
"Male","128"
"58",""
"Female","208"
"Male","150"
"59",""
"Female","106"
"Male","108"
"6",""
"Female","570"
"Male","559"
"60",""
"Female","394"
"Male","389"
"61",""
"Female","110"
"Male","118"
"62",""
"Female","131"
"Male","131"
"63",""
"Female","112"
"Male","92"
"64",""
"Female","114"
"Male","93"
"65",""
"Female","266"
"Male","231"
"66",""
"Female","68"
"Male","94"
"67",""
"Female","97"
"Male","106"
"68",""
"Female","114"
"Male","132"
"69",""
"Female","39"
"Male","66"
"7",""
"Female","620"
"Male","616"
"70",""
"Female","205"
"Male","214"
"71",""
"Female","38"
"Male","56"
"72",""
"Female","63"
"Male","71"
"73",""
"Female","50"
"Male","72"
"74",""
"Female","40"
"Male","48"
"75",""
"Female","119"
"Male","114"
"76",""
"Female","36"
"Male","51"
"77",""
"Female","34"
"Male","39"
"78",""
"Female","38"
"Male","56"
"79",""
"Female","20"
"Male","33"
"8",""
"Female","596"
"Male","708"
"80",""
"Female","56"
"Male","48"
"81",""
"Female","14"
"Male","15"
"82",""
"Female","27"
"Male","23"
"83",""
"Female","24"
"Male","18"
"84",""
"Female","18"
"Male","22"
"85",""
"Female","96"
"Male","91"
"9",""
"Female","573"
"Male","567"
