"Population by Caste/Ethinicity","Number"
"Badhaee",""
"Female","109"
"Male","106"
"Bangali",""
"Female","8"
"Male","6"
"Baraee",""
"Female","17"
"Male","19"
"Bin",""
"Female","635"
"Male","651"
"Brahman - Hill",""
"Female","1233"
"Male","952"
"Brahman - Tarai",""
"Female","10"
"Male","11"
"Chamar/ Harijan/ Ram",""
"Female","1990"
"Male","2062"
"Chhetri",""
"Female","394"
"Male","343"
"Dalit Others",""
"Female","9"
"Male","9"
"Damai/Dholi",""
"Female","33"
"Male","34"
"Dhankar/ Dharikar",""
"Female","26"
"Male","22"
"Dhobi",""
"Female","246"
"Male","284"
"Dom",""
"Female","7"
"Male","5"
"Dusadh/ Pasawan/ Pasi",""
"Female","633"
"Male","598"
"Foreigner",""
"Female","15"
"Male","9"
"Gaderi/Bhedihar",""
"Female","272"
"Male","278"
"Gharti/Bhujel",""
"Female","8"
"Male","3"
"Gurung",""
"Female","274"
"Male","232"
"Hajam/Thakur",""
"Female","202"
"Male","185"
"Halwai",""
"Female","29"
"Male","26"
"Kahar",""
"Female","358"
"Male","388"
"Kalwar",""
"Female","38"
"Male","43"
"Kami",""
"Female","81"
"Male","88"
"Kanu",""
"Female","12"
"Male","14"
"Kathabaniyan",""
"Female","418"
"Male","408"
"Kayastha",""
"Female","8"
"Male","5"
"Kewat",""
"Female","221"
"Male","221"
"Khatwe",""
"Female","13"
"Male","9"
"Khawas",""
"Female","71"
"Male","54"
"Koiri/Kushwaha",""
"Female","629"
"Male","623"
"Kumal",""
"Female","77"
"Male","86"
"Kumhar",""
"Female","7"
"Male","5"
"Kurmi",""
"Female","537"
"Male","545"
"Lohar",""
"Female","105"
"Male","105"
"Magar",""
"Female","652"
"Male","549"
"Mali",""
"Female","8"
"Male","6"
"Mallaha",""
"Female","315"
"Male","351"
"Musahar",""
"Female","575"
"Male","570"
"Musalman",""
"Female","1839"
"Male","1675"
"Newar",""
"Female","117"
"Male","98"
"Nuniya",""
"Female","4"
"Male","7"
"Others",""
"Female","27"
"Male","22"
"Pattharkatta/ Kushwadiya",""
"Female","16"
"Male","14"
"Rajbhar",""
"Female","372"
"Male","338"
"Rajput",""
"Female","39"
"Male","41"
"Sanyasi/Dasnami",""
"Female","22"
"Male","20"
"Sarki",""
"Female","63"
"Male","37"
"Satar/ Santhal",""
"Female","6"
"Male","7"
"Sonar",""
"Female","42"
"Male","56"
"Tamang",""
"Female","34"
"Male","22"
"Teli",""
"Female","986"
"Male","937"
"Terai Others",""
"Female","613"
"Male","626"
"Thakuri",""
"Female","36"
"Male","25"
"Tharu",""
"Female","3314"
"Male","2954"
"Yadav",""
"Female","620"
"Male","656"
"Yakkha",""
"Female","10"
"Male","15"
