"Population by Mother tongue","Number"
"Avadhi",""
"Female","26"
"Male","42"
"Bhojpuri",""
"Female","92269"
"Male","90491"
"Bhujel",""
"Female","206"
"Male","195"
"Darai",""
"Female","15"
"Male","11"
"Doteli",""
"Female","125"
"Male","126"
"Ganagai",""
"Female","14"
"Male","8"
"Ghale",""
"Female","14"
"Male","14"
"Gurung",""
"Female","2149"
"Male","1683"
"Hindi",""
"Female","87"
"Male","135"
"Kumal",""
"Female","7"
"Male","5"
"Limbu",""
"Female","12"
"Male","7"
"Magar",""
"Female","5018"
"Male","4171"
"Maithili",""
"Female","5377"
"Male","5538"
"Nepali",""
"Female","48182"
"Male","39832"
"Newar",""
"Female","700"
"Male","639"
"Not Reported",""
"Female","123"
"Male","120"
"Others",""
"Female","193"
"Male","137"
"Rai",""
"Female","56"
"Male","47"
"Rajbanshi",""
"Female","12"
"Male","15"
"Rajsthani",""
"Female","24"
"Male","30"
"Santhali",""
"Female","70"
"Male","74"
"Sherpa",""
"Female","43"
"Male","36"
"Sign Language",""
"Female","20"
"Male","21"
"Sunuwar",""
"Female","30"
"Male","23"
"Tamang",""
"Female","506"
"Male","438"
"Thakali",""
"Female","8"
"Male","7"
"Tharu",""
"Female","15194"
"Male","13462"
"Urdu",""
"Female","151"
"Male","147"
