"Population by Caste Ethinicity","Number"
"Badi",""
"Female","17"
"Male","15"
"","32"
"Brahman - Hill",""
"Female","950"
"Male","734"
"","1684"
"Chhetri",""
"Female","434"
"Male","302"
"","736"
"Damai/Dholi",""
"Female","203"
"Male","162"
"","365"
"Gharti/Bhujel",""
"Female","76"
"Male","54"
"","130"
"Kami",""
"Female","961"
"Male","693"
"","1654"
"Kumal",""
"Female","382"
"Male","320"
"","702"
"Magar",""
"Female","10410"
"Male","8442"
"","18852"
"Musalman",""
"Female","13"
"Male","7"
"","20"
"Newar",""
"Female","102"
"Male","77"
"","179"
"Others",""
"Female","37"
"Male","46"
"","83"
"Sanyasi/Dasnami",""
"Female","30"
"Male","27"
"","57"
"Sarki",""
"Female","277"
"Male","225"
"","502"
"Undefined Others",""
"Female","9"
"Male","12"
"","21"
