"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","28"
"Male","21"
"Bote",""
"Female","89"
"Male","89"
"Brahman - Hill",""
"Female","5019"
"Male","3893"
"Chhetri",""
"Female","1070"
"Male","777"
"Dalit Others",""
"Female","301"
"Male","201"
"Damai/Dholi",""
"Female","484"
"Male","349"
"Darai",""
"Female","66"
"Male","62"
"Gharti/Bhujel",""
"Female","503"
"Male","380"
"Gurung",""
"Female","46"
"Male","45"
"Kami",""
"Female","1371"
"Male","1045"
"Kathabaniyan",""
"Female","5"
"Male","9"
"Kumal",""
"Female","1171"
"Male","978"
"Magar",""
"Female","5848"
"Male","4408"
"Musalman",""
"Female","312"
"Male","257"
"Newar",""
"Female","1393"
"Male","1143"
"Others",""
"Female","42"
"Male","31"
"Sanyasi/Dasnami",""
"Female","14"
"Male","14"
"Sarki",""
"Female","688"
"Male","507"
"Teli",""
"Female","5"
"Male","9"
"Thakuri",""
"Female","1456"
"Male","1128"
"Tharu",""
"Female","47"
"Male","92"
