"Population by Five Years Age Group","Number"
"0-4",""
"Female","1569"
"Male","1709"
"10-14",""
"Female","2574"
"Male","2516"
"15-19",""
"Female","2372"
"Male","1835"
"20-24",""
"Female","1817"
"Male","983"
"25-29",""
"Female","1631"
"Male","725"
"30-34",""
"Female","1358"
"Male","666"
"35-39",""
"Female","1245"
"Male","711"
"40-44",""
"Female","1100"
"Male","697"
"45-49",""
"Female","902"
"Male","683"
"50-54",""
"Female","793"
"Male","717"
"55-59",""
"Female","665"
"Male","592"
"5-9",""
"Female","2223"
"Male","2228"
"60-64",""
"Female","610"
"Male","473"
"65-69",""
"Female","444"
"Male","385"
"70-74",""
"Female","276"
"Male","273"
"75+",""
"Female","389"
"Male","343"
