"Population by Caste Ethinicity","Number"
"Badi",""
"Female","28"
"Male","21"
"","49"
"Bote",""
"Female","89"
"Male","89"
"","178"
"Brahman - Hill",""
"Female","5019"
"Male","3893"
"","8912"
"Chhetri",""
"Female","1070"
"Male","777"
"","1847"
"Dalit Others",""
"Female","301"
"Male","201"
"","502"
"Damai/Dholi",""
"Female","484"
"Male","349"
"","833"
"Darai",""
"Female","66"
"Male","62"
"","128"
"Gharti/Bhujel",""
"Female","503"
"Male","380"
"","883"
"Gurung",""
"Female","46"
"Male","45"
"","91"
"Kami",""
"Female","1371"
"Male","1045"
"","2416"
"Kathabaniyan",""
"Female","5"
"Male","9"
"","14"
"Kumal",""
"Female","1171"
"Male","978"
"","2149"
"Magar",""
"Female","5848"
"Male","4408"
"","10256"
"Musalman",""
"Female","312"
"Male","257"
"","569"
"Newar",""
"Female","1393"
"Male","1143"
"","2536"
"Others",""
"Female","42"
"Male","31"
"","73"
"Sanyasi/Dasnami",""
"Female","14"
"Male","14"
"","28"
"Sarki",""
"Female","688"
"Male","507"
"","1195"
"Teli",""
"Female","5"
"Male","9"
"","14"
"Thakuri",""
"Female","1456"
"Male","1128"
"","2584"
"Tharu",""
"Female","47"
"Male","92"
"","139"
