"Population by Five Years Age Group","Number"
"0-4",""
"Female","1433"
"Male","1425"
"10-14",""
"Female","1788"
"Male","1694"
"15-19",""
"Female","1504"
"Male","956"
"20-24",""
"Female","1099"
"Male","435"
"25-29",""
"Female","954"
"Male","370"
"30-34",""
"Female","698"
"Male","349"
"35-39",""
"Female","655"
"Male","357"
"40-44",""
"Female","581"
"Male","359"
"45-49",""
"Female","542"
"Male","404"
"50-54",""
"Female","470"
"Male","367"
"55-59",""
"Female","399"
"Male","360"
"5-9",""
"Female","1666"
"Male","1656"
"60-64",""
"Female","349"
"Male","318"
"65-69",""
"Female","259"
"Male","223"
"70-74",""
"Female","158"
"Male","184"
"75+",""
"Female","172"
"Male","208"
