"Population by Caste Ethinicity","Number"
"Badi",""
"Female","14"
"Male","7"
"","21"
"Brahman - Hill",""
"Female","1183"
"Male","972"
"","2155"
"Chhetri",""
"Female","2808"
"Male","1946"
"","4754"
"Damai/Dholi",""
"Female","369"
"Male","277"
"","646"
"Gaine",""
"Female","94"
"Male","89"
"","183"
"Gharti/Bhujel",""
"Female","189"
"Male","129"
"","318"
"Gurung",""
"Female","820"
"Male","681"
"","1501"
"Kami",""
"Female","1066"
"Male","738"
"","1804"
"Kumal",""
"Female","97"
"Male","64"
"","161"
"Magar",""
"Female","4412"
"Male","3471"
"","7883"
"Marwadi",""
"Female","11"
"Male","7"
"","18"
"Newar",""
"Female","247"
"Male","186"
"","433"
"Others",""
"Female","9"
"Male","5"
"","14"
"Sanyasi/Dasnami",""
"Female","62"
"Male","43"
"","105"
"Sarki",""
"Female","1079"
"Male","834"
"","1913"
"Thakuri",""
"Female","267"
"Male","216"
"","483"
