"Population by Single Year of Age","Number"
"0",""
"Female","185"
"Male","184"
"1",""
"Female","177"
"Male","187"
"10",""
"Female","249"
"Male","250"
"11",""
"Female","230"
"Male","215"
"12",""
"Female","290"
"Male","258"
"13",""
"Female","214"
"Male","199"
"14",""
"Female","213"
"Male","204"
"15",""
"Female","228"
"Male","187"
"16",""
"Female","165"
"Male","139"
"17",""
"Female","236"
"Male","124"
"18",""
"Female","220"
"Male","118"
"19",""
"Female","137"
"Male","66"
"2",""
"Female","206"
"Male","224"
"20",""
"Female","171"
"Male","60"
"21",""
"Female","139"
"Male","55"
"22",""
"Female","195"
"Male","76"
"23",""
"Female","146"
"Male","55"
"24",""
"Female","121"
"Male","71"
"25",""
"Female","169"
"Male","66"
"26",""
"Female","142"
"Male","67"
"27",""
"Female","155"
"Male","69"
"28",""
"Female","125"
"Male","63"
"29",""
"Female","77"
"Male","44"
"3",""
"Female","212"
"Male","210"
"30",""
"Female","171"
"Male","76"
"31",""
"Female","71"
"Male","41"
"32",""
"Female","101"
"Male","57"
"33",""
"Female","78"
"Male","38"
"34",""
"Female","74"
"Male","38"
"35",""
"Female","140"
"Male","96"
"36",""
"Female","98"
"Male","35"
"37",""
"Female","62"
"Male","48"
"38",""
"Female","78"
"Male","45"
"39",""
"Female","66"
"Male","34"
"4",""
"Female","229"
"Male","233"
"40",""
"Female","144"
"Male","84"
"41",""
"Female","53"
"Male","48"
"42",""
"Female","84"
"Male","71"
"43",""
"Female","53"
"Male","41"
"44",""
"Female","49"
"Male","32"
"45",""
"Female","105"
"Male","78"
"46",""
"Female","48"
"Male","31"
"47",""
"Female","57"
"Male","43"
"48",""
"Female","68"
"Male","46"
"49",""
"Female","49"
"Male","44"
"5",""
"Female","231"
"Male","260"
"50",""
"Female","110"
"Male","95"
"51",""
"Female","43"
"Male","34"
"52",""
"Female","80"
"Male","47"
"53",""
"Female","41"
"Male","27"
"54",""
"Female","44"
"Male","37"
"55",""
"Female","71"
"Male","46"
"56",""
"Female","49"
"Male","54"
"57",""
"Female","31"
"Male","43"
"58",""
"Female","34"
"Male","37"
"59",""
"Female","44"
"Male","32"
"6",""
"Female","210"
"Male","216"
"60",""
"Female","86"
"Male","63"
"61",""
"Female","38"
"Male","33"
"62",""
"Female","29"
"Male","48"
"63",""
"Female","26"
"Male","29"
"64",""
"Female","26"
"Male","26"
"65",""
"Female","50"
"Male","42"
"66",""
"Female","16"
"Male","22"
"67",""
"Female","32"
"Male","40"
"68",""
"Female","15"
"Male","28"
"69",""
"Female","11"
"Male","19"
"7",""
"Female","224"
"Male","241"
"70",""
"Female","51"
"Male","34"
"71",""
"Female","15"
"Male","8"
"72",""
"Female","24"
"Male","16"
"73",""
"Female","14"
"Male","10"
"74",""
"Female","7"
"Male","14"
"75",""
"Female","25"
"Male","18"
"76",""
"Female","5"
"Male","10"
"77",""
"Female","6"
"Male","8"
"78",""
"Female","4"
"Male","9"
"79",""
"Female","6"
"Male","4"
"8",""
"Female","234"
"Male","225"
"80",""
"Female","12"
"Male","7"
"81",""
"Female","2"
"Male","4"
"82",""
"Female","2"
"Male","4"
"83",""
"Female","4"
"Male","3"
"84",""
"Female","8"
"Male","7"
"85",""
"Female","16"
"Male","14"
"9",""
"Female","225"
"Male","213"
