"Population by Caste Ethinicity","Number"
"Badi",""
"Female","6"
"Male","5"
"","11"
"Bote",""
"Female","10"
"Male","11"
"","21"
"Brahman - Hill",""
"Female","2742"
"Male","2293"
"","5035"
"Brahman - Tarai",""
"Female","13"
"Male","17"
"","30"
"Chhetri",""
"Female","6967"
"Male","5000"
"","11967"
"Damai/Dholi",""
"Female","567"
"Male","389"
"","956"
"Gaine",""
"Female","19"
"Male","17"
"","36"
"Gharti/Bhujel",""
"Female","60"
"Male","44"
"","104"
"Gurung",""
"Female","280"
"Male","218"
"","498"
"Kami",""
"Female","2400"
"Male","1812"
"","4212"
"Kumal",""
"Female","883"
"Male","859"
"","1742"
"Limbu",""
"Female","6"
"Male","7"
"","13"
"Magar",""
"Female","4530"
"Male","3660"
"","8190"
"Musalman",""
"Female","23"
"Male","32"
"","55"
"Newar",""
"Female","312"
"Male","286"
"","598"
"Others",""
"Female","32"
"Male","51"
"","83"
"Sanyasi/Dasnami",""
"Female","578"
"Male","442"
"","1020"
"Sarki",""
"Female","1870"
"Male","1356"
"","3226"
"Tamang",""
"Female","13"
"Male","9"
"","22"
"Terai Others",""
"Female","7"
"Male","8"
"","15"
"Thakali",""
"Female","7"
"Male","4"
"","11"
"Thakuri",""
"Female","50"
"Male","40"
"","90"
"Thami",""
"Female","8"
"Male","8"
"","16"
"Tharu",""
"Female","253"
"Male","245"
"","498"
