"Population by Caste Ethinicity","Number"
"Badi",""
"Female","35"
"Male","20"
"","55"
"Bote",""
"Female","17"
"Male","8"
"","25"
"Brahman - Hill",""
"Female","2455"
"Male","1650"
"","4105"
"Chhetri",""
"Female","4086"
"Male","2667"
"","6753"
"Damai/Dholi",""
"Female","545"
"Male","386"
"","931"
"Gaine",""
"Female","26"
"Male","9"
"","35"
"Gharti/Bhujel",""
"Female","24"
"Male","24"
"","48"
"Gurung",""
"Female","115"
"Male","64"
"","179"
"Kami",""
"Female","2656"
"Male","1845"
"","4501"
"Kumal",""
"Female","5"
"Male","10"
"","15"
"Magar",""
"Female","6906"
"Male","5191"
"","12097"
"Musalman",""
"Female","8"
"Male","9"
"","17"
"Newar",""
"Female","198"
"Male","160"
"","358"
"Others",""
"Female","14"
"Male","8"
"","22"
"Sanyasi/Dasnami",""
"Female","210"
"Male","175"
"","385"
"Sarki",""
"Female","777"
"Male","491"
"","1268"
"Tamang",""
"Female","6"
"Male","9"
"","15"
"Thakuri",""
"Female","70"
"Male","43"
"","113"
"Tharu",""
"Female","2"
"Male","16"
"","18"
