"Population by Educational Attainment","Number"
"Beginners",""
"Female","4453"
"Male","4977"
"Graduate and Equivalent",""
"Female","209"
"Male","790"
"Intermediate and Equivalent",""
"Female","1648"
"Male","2062"
"Level not Stated",""
"Female","253"
"Male","199"
"Lower Secondary (Class 6-8)",""
"Female","12762"
"Male","11948"
"Non Formal Education",""
"Female","6408"
"Male","3335"
"Others",""
"Female","38"
"Male","39"
"Post Graduate Equivalent and Above",""
"Female","48"
"Male","255"
"Primary Education (1-5 Class)",""
"Female","35083"
"Male","35121"
"Secondary Level (Class 9-10)",""
"Female","4276"
"Male","4998"
"SLC and Equivalent",""
"Female","3646"
"Male","4207"
