"Population by Caste Ethinicity","Number"
"Badi",""
"Female","20"
"Male","15"
"","35"
"Brahman - Hill",""
"Female","31"
"Male","35"
"","66"
"Chamar/ Harijan/ Ram",""
"Female","11"
"Male","11"
"","22"
"Chhetri",""
"Female","4341"
"Male","3896"
"","8237"
"Damai/Dholi",""
"Female","641"
"Male","563"
"","1204"
"Gaine",""
"Female","11"
"Male","12"
"","23"
"Gharti/Bhujel",""
"Female","8"
"Male","9"
"","17"
"Kami",""
"Female","1871"
"Male","1623"
"","3494"
"Magar",""
"Female","5040"
"Male","4365"
"","9405"
"Others",""
"Female","17"
"Male","13"
"","30"
"Sanyasi/Dasnami",""
"Female","142"
"Male","115"
"","257"
"Sarki",""
"Female","46"
"Male","35"
"","81"
"Thakuri",""
"Female","49"
"Male","37"
"","86"
