"Population by Educational Attainment","Number"
"Beginners",""
"Female","511"
"Male","521"
"","1032"
"Graduate and Equivalent",""
"Female","11"
"Male","99"
"","110"
"Intermediate and Equivalent",""
"Female","135"
"Male","215"
"","350"
"Level not Stated",""
"Female","12"
"Male","17"
"","29"
"Lower Secondary (Class 6-8)",""
"Female","1388"
"Male","1360"
"","2748"
"Non Formal Education",""
"Female","1000"
"Male","618"
"","1618"
"Others",""
"Female","1"
"Male","0"
"","1"
"Post Graduate Equivalent and Above",""
"Female","6"
"Male","18"
"","24"
"Primary Education (1-5 Class)",""
"Female","3571"
"Male","4096"
"","7667"
"Secondary Level (Class 9-10)",""
"Female","467"
"Male","543"
"","1010"
"SLC and Equivalent",""
"Female","227"
"Male","290"
"","517"
