"Population by Five Years Age Group","Number"
"0-4",""
"Female","978"
"Male","1038"
"10-14",""
"Female","1243"
"Male","1188"
"15-19",""
"Female","986"
"Male","972"
"20-24",""
"Female","865"
"Male","656"
"25-29",""
"Female","709"
"Male","541"
"30-34",""
"Female","529"
"Male","372"
"35-39",""
"Female","553"
"Male","450"
"40-44",""
"Female","477"
"Male","363"
"45-49",""
"Female","422"
"Male","377"
"50-54",""
"Female","383"
"Male","413"
"55-59",""
"Female","314"
"Male","277"
"5-9",""
"Female","1206"
"Male","1173"
"60-64",""
"Female","304"
"Male","332"
"65-69",""
"Female","200"
"Male","194"
"70-74",""
"Female","137"
"Male","115"
"75+",""
"Female","118"
"Male","114"
