"Industries Types","Number"
"Accommodation and food","109"
"Administrative and support service activity","13"
"Agriculture, forestry and fishing","6"
"Art, entertainment and recreation","2"
"Construction","0"
"Education","117"
"Electricty gas and water","9"
"Financial intermediation and insurance","10"
"Health and social work","26"
"Information and communications","1"
"Manufacturing","57"
"Mining and quarrying","0"
"Other service activities","32"
"Professional,scientific and techniqual activity","9"
"Real state, renting and business activities","0"
"Transport and storage","8"
"Water supply, wet management","0"
"Wholesale and retail trade","621"
"Total","1020"
