"Population by Mother tongue","Number"
"Avadhi",""
"Female","7238"
"Male","7287"
"","14525"
"Bhojpuri",""
"Female","10670"
"Male","10980"
"","21650"
"Doteli",""
"Female","55"
"Male","46"
"","101"
"Gurung",""
"Female","8"
"Male","3"
"","11"
"Magar",""
"Female","66"
"Male","68"
"","134"
"Maithili",""
"Female","950"
"Male","973"
"","1923"
"Nepali",""
"Female","2982"
"Male","2648"
"","5630"
"Newar",""
"Female","84"
"Male","95"
"","179"
"Not Reported",""
"Female","10"
"Male","13"
"","23"
"Others",""
"Female","15"
"Male","11"
"","26"
"Rai",""
"Female","18"
"Male","16"
"","34"
"Sherpa",""
"Female","13"
"Male","14"
"","27"
"Tamang",""
"Female","5"
"Male","6"
"","11"
"Tharu",""
"Female","432"
"Male","371"
"","803"
"Urdu",""
"Female","1289"
"Male","1199"
"","2488"
