"Population by Five Years Age Group","Number"
"0-4",""
"Female","2453"
"Male","2695"
"10-14",""
"Female","3236"
"Male","3420"
"15-19",""
"Female","2540"
"Male","2819"
"20-24",""
"Female","2111"
"Male","1872"
"25-29",""
"Female","1920"
"Male","1703"
"30-34",""
"Female","1568"
"Male","1315"
"35-39",""
"Female","1322"
"Male","1250"
"40-44",""
"Female","1074"
"Male","1076"
"45-49",""
"Female","920"
"Male","956"
"50-54",""
"Female","836"
"Male","879"
"55-59",""
"Female","628"
"Male","724"
"5-9",""
"Female","3175"
"Male","3279"
"60-64",""
"Female","564"
"Male","628"
"65-69",""
"Female","440"
"Male","527"
"70-74",""
"Female","315"
"Male","347"
"75+",""
"Female","277"
"Male","305"
