"Population by Mother tongue","Number"
"Avadhi",""
"Female","2506"
"Male","2471"
"","4977"
"Bangla",""
"Female","23"
"Male","20"
"","43"
"Bhojpuri",""
"Female","9399"
"Male","9344"
"","18743"
"Bhujel",""
"Female","8"
"Male","8"
"","16"
"Gurung",""
"Female","263"
"Male","205"
"","468"
"Hindi",""
"Female","55"
"Male","62"
"","117"
"Magar",""
"Female","606"
"Male","579"
"","1185"
"Maithili",""
"Female","531"
"Male","558"
"","1089"
"Nepali",""
"Female","2712"
"Male","2425"
"","5137"
"Newar",""
"Female","67"
"Male","58"
"","125"
"Others",""
"Female","20"
"Male","19"
"","39"
"Santhali",""
"Female","8"
"Male","8"
"","16"
"Tharu",""
"Female","679"
"Male","617"
"","1296"
"Urdu",""
"Female","465"
"Male","475"
"","940"
