"Population by Five Years Age Group","Number"
"0-4",""
"Female","2094"
"Male","2371"
"10-14",""
"Female","3676"
"Male","3705"
"15-19",""
"Female","3586"
"Male","3498"
"20-24",""
"Female","3304"
"Male","2670"
"25-29",""
"Female","2992"
"Male","1814"
"30-34",""
"Female","2293"
"Male","1597"
"35-39",""
"Female","1990"
"Male","1365"
"40-44",""
"Female","1645"
"Male","1156"
"45-49",""
"Female","1363"
"Male","1116"
"50-54",""
"Female","1185"
"Male","1027"
"55-59",""
"Female","874"
"Male","803"
"5-9",""
"Female","2979"
"Male","3178"
"60-64",""
"Female","895"
"Male","784"
"65-69",""
"Female","631"
"Male","610"
"70-74",""
"Female","357"
"Male","442"
"75+",""
"Female","492"
"Male","585"
