"Population by Five Years Age Group","Number"
"0-4",""
"Female","2203"
"Male","2265"
"10-14",""
"Female","2551"
"Male","2673"
"15-19",""
"Female","1910"
"Male","2205"
"20-24",""
"Female","1532"
"Male","1472"
"25-29",""
"Female","1451"
"Male","1429"
"30-34",""
"Female","1280"
"Male","1102"
"35-39",""
"Female","1104"
"Male","1128"
"40-44",""
"Female","896"
"Male","946"
"45-49",""
"Female","687"
"Male","778"
"50-54",""
"Female","552"
"Male","609"
"55-59",""
"Female","550"
"Male","559"
"5-9",""
"Female","2607"
"Male","2738"
"60-64",""
"Female","474"
"Male","566"
"65-69",""
"Female","384"
"Male","427"
"70-74",""
"Female","281"
"Male","321"
"75+",""
"Female","308"
"Male","325"
