"Population by Caste/Ethinicity","Number"
"Badhaee",""
"Female","6"
"Male","20"
"Badi",""
"Female","175"
"Male","130"
"Bangali",""
"Female","5"
"Male","10"
"Baraee",""
"Female","10"
"Male","12"
"Bote",""
"Female","9"
"Male","6"
"Brahman - Hill",""
"Female","16314"
"Male","14189"
"Brahman - Tarai",""
"Female","22"
"Male","27"
"Brahmu/ Baramo",""
"Female","11"
"Male","14"
"Chamar/ Harijan/ Ram",""
"Female","342"
"Male","349"
"Chhantyal/Chhantel",""
"Female","44"
"Male","30"
"Chhetri",""
"Female","5681"
"Male","4762"
"Dalit Others",""
"Female","21"
"Male","20"
"Damai/Dholi",""
"Female","837"
"Male","787"
"Darai",""
"Female","36"
"Male","29"
"Dev",""
"Female","7"
"Male","5"
"Dhandi",""
"Female","16"
"Male","16"
"Dhanuk",""
"Female","6"
"Male","12"
"Dhobi",""
"Female","36"
"Male","53"
"Dom",""
"Female","7"
"Male","6"
"Dusadh/ Pasawan/ Pasi",""
"Female","38"
"Male","61"
"Gaderi/Bhedihar",""
"Female","115"
"Male","128"
"Ghale",""
"Female","20"
"Male","9"
"Gharti/Bhujel",""
"Female","39"
"Male","35"
"Gurung",""
"Female","2317"
"Male","1811"
"Hajam/Thakur",""
"Female","94"
"Male","95"
"Halwai",""
"Female","147"
"Male","168"
"Kahar",""
"Female","102"
"Male","122"
"Kalwar",""
"Female","10"
"Male","8"
"Kami",""
"Female","1716"
"Male","1515"
"Kanu",""
"Female","14"
"Male","14"
"Kathabaniyan",""
"Female","388"
"Male","410"
"Kayastha",""
"Female","10"
"Male","14"
"Kewat",""
"Female","649"
"Male","644"
"Khatwe",""
"Female","11"
"Male","13"
"Khawas",""
"Female","23"
"Male","21"
"Koiri/Kushwaha",""
"Female","98"
"Male","114"
"Kumal",""
"Female","462"
"Male","414"
"Kumhar",""
"Female","13"
"Male","10"
"Kurmi",""
"Female","37"
"Male","67"
"Limbu",""
"Female","17"
"Male","27"
"Lodh",""
"Female","122"
"Male","130"
"Lohar",""
"Female","28"
"Male","25"
"Magar",""
"Female","8938"
"Male","7337"
"Majhi",""
"Female","48"
"Male","54"
"Mali",""
"Female","16"
"Male","16"
"Mallaha",""
"Female","199"
"Male","222"
"Marwadi",""
"Female","36"
"Male","33"
"Musahar",""
"Female","217"
"Male","227"
"Musalman",""
"Female","368"
"Male","417"
"Newar",""
"Female","877"
"Male","785"
"Others",""
"Female","40"
"Male","31"
"Rai",""
"Female","60"
"Male","52"
"Rajbhar",""
"Female","53"
"Male","67"
"Rajput",""
"Female","2"
"Male","13"
"Sanyasi/Dasnami",""
"Female","539"
"Male","508"
"Sarki",""
"Female","376"
"Male","349"
"Satar/ Santhal",""
"Female","13"
"Male","21"
"Sherpa",""
"Female","7"
"Male","9"
"Tamang",""
"Female","80"
"Male","63"
"Teli",""
"Female","125"
"Male","148"
"Terai Others",""
"Female","192"
"Male","193"
"Thakali",""
"Female","38"
"Male","30"
"Thakuri",""
"Female","660"
"Male","571"
"Tharu",""
"Female","9100"
"Male","8724"
"Yadav",""
"Female","932"
"Male","976"
