"Industries Types","Number"
"Accommodation and food","5277"
"Administrative and support service activity","363"
"Agriculture, forestry and fishing","513"
"Art, entertainment and recreation","78"
"Construction","43"
"Education","875"
"Electricty gas and water","7"
"Financial intermediation and insurance","590"
"Health and social work","282"
"Information and communications","75"
"Manufacturing","4022"
"Mining and quarrying","19"
"Other service activities","2490"
"Professional,scientific and techniqual activity","358"
"Real state, renting and business activities","4"
"Transport and storage","90"
"Water supply, wet management","87"
"Wholesale and retail trade","23230"
"Total","38403"
