"Population by Single Year of Age","Number"
"0",""
"Female","39702"
"Male","43200"
"1",""
"Female","36760"
"Male","39708"
"10",""
"Female","69896"
"Male","74017"
"11",""
"Female","49379"
"Male","50789"
"12",""
"Female","69190"
"Male","73894"
"13",""
"Female","56393"
"Male","55519"
"14",""
"Female","61169"
"Male","59026"
"15",""
"Female","58836"
"Male","56608"
"16",""
"Female","60108"
"Male","55176"
"17",""
"Female","50956"
"Male","44891"
"18",""
"Female","62995"
"Male","57266"
"19",""
"Female","39679"
"Male","30936"
"2",""
"Female","43913"
"Male","46228"
"20",""
"Female","59672"
"Male","45462"
"21",""
"Female","37332"
"Male","27231"
"22",""
"Female","52321"
"Male","38402"
"23",""
"Female","39511"
"Male","25074"
"24",""
"Female","41659"
"Male","27826"
"25",""
"Female","56643"
"Male","42894"
"26",""
"Female","38396"
"Male","26742"
"27",""
"Female","34208"
"Male","24424"
"28",""
"Female","48752"
"Male","34357"
"29",""
"Female","22178"
"Male","16263"
"3",""
"Female","48135"
"Male","49646"
"30",""
"Female","60985"
"Male","45982"
"31",""
"Female","18120"
"Male","14076"
"32",""
"Female","36097"
"Male","27751"
"33",""
"Female","24275"
"Male","15326"
"34",""
"Female","23042"
"Male","15327"
"35",""
"Female","54418"
"Male","48472"
"36",""
"Female","23996"
"Male","18626"
"37",""
"Female","18014"
"Male","13901"
"38",""
"Female","32135"
"Male","22550"
"39",""
"Female","15556"
"Male","11748"
"4",""
"Female","50491"
"Male","52879"
"40",""
"Female","53071"
"Male","47256"
"41",""
"Female","13234"
"Male","11141"
"42",""
"Female","23599"
"Male","20685"
"43",""
"Female","17725"
"Male","12173"
"44",""
"Female","14189"
"Male","10595"
"45",""
"Female","38971"
"Male","40785"
"46",""
"Female","14433"
"Male","12799"
"47",""
"Female","12052"
"Male","10595"
"48",""
"Female","22047"
"Male","17709"
"49",""
"Female","11342"
"Male","9356"
"5",""
"Female","56069"
"Male","59592"
"50",""
"Female","36852"
"Male","37266"
"51",""
"Female","9786"
"Male","10032"
"52",""
"Female","14929"
"Male","15498"
"53",""
"Female","11230"
"Male","9325"
"54",""
"Female","10006"
"Male","8251"
"55",""
"Female","25495"
"Male","27819"
"56",""
"Female","11323"
"Male","10950"
"57",""
"Female","9501"
"Male","9113"
"58",""
"Female","14604"
"Male","12083"
"59",""
"Female","8251"
"Male","7516"
"6",""
"Female","53332"
"Male","55507"
"60",""
"Female","31767"
"Male","31169"
"61",""
"Female","8257"
"Male","8258"
"62",""
"Female","10928"
"Male","10029"
"63",""
"Female","7976"
"Male","6466"
"64",""
"Female","6791"
"Male","6266"
"65",""
"Female","21233"
"Male","21661"
"66",""
"Female","5682"
"Male","5660"
"67",""
"Female","6512"
"Male","6775"
"68",""
"Female","9095"
"Male","9757"
"69",""
"Female","3322"
"Male","4421"
"7",""
"Female","54537"
"Male","56266"
"70",""
"Female","17251"
"Male","17542"
"71",""
"Female","3174"
"Male","3899"
"72",""
"Female","5305"
"Male","6139"
"73",""
"Female","3275"
"Male","3773"
"74",""
"Female","2252"
"Male","2762"
"75",""
"Female","8574"
"Male","8818"
"76",""
"Female","2227"
"Male","2639"
"77",""
"Female","2018"
"Male","2461"
"78",""
"Female","3016"
"Male","3408"
"79",""
"Female","1409"
"Male","1657"
"8",""
"Female","63558"
"Male","67083"
"80",""
"Female","5307"
"Male","4957"
"81",""
"Female","1077"
"Male","1315"
"82",""
"Female","1330"
"Male","1427"
"83",""
"Female","968"
"Male","1201"
"84",""
"Female","1158"
"Male","1194"
"85",""
"Female","5953"
"Male","5808"
"9",""
"Female","48051"
"Male","49242"
