"Population by Mother tongue","Number"
"Achhami",""
"Female","47"
"Male","28"
"","75"
"Assami",""
"Female","83"
"Male","68"
"","151"
"Avadhi",""
"Female","241336"
"Male","256365"
"","497701"
"Bangla",""
"Female","219"
"Male","381"
"","600"
"Bhojpuri",""
"Female","252652"
"Male","255978"
"","508630"
"Bhujel",""
"Female","385"
"Male","341"
"","726"
"Bote",""
"Female","725"
"Male","555"
"","1280"
"Chepang",""
"Female","7"
"Male","24"
"","31"
"Chhantyal",""
"Female","302"
"Male","268"
"","570"
"Dailekhi",""
"Female","6"
"Male","8"
"","14"
"Danuwar",""
"Female","20"
"Male","12"
"","32"
"Darai",""
"Female","37"
"Male","24"
"","61"
"Doteli",""
"Female","1452"
"Male","1469"
"","2921"
"English",""
"Female","30"
"Male","30"
"","60"
"Ganagai",""
"Female","14"
"Male","8"
"","22"
"Ghale",""
"Female","21"
"Male","19"
"","40"
"Gurung",""
"Female","10874"
"Male","8646"
"","19520"
"Hindi",""
"Female","7052"
"Male","8160"
"","15212"
"Kham",""
"Female","9095"
"Male","7985"
"","17080"
"Kumal",""
"Female","1520"
"Male","1315"
"","2835"
"Limbu",""
"Female","100"
"Male","90"
"","190"
"Magar",""
"Female","112237"
"Male","91797"
"","204034"
"Maithili",""
"Female","26191"
"Male","27944"
"","54135"
"Majhi",""
"Female","5"
"Male","10"
"","15"
"Nepali",""
"Female","1248160"
"Male","1025820"
"","2273980"
"Newar",""
"Female","14390"
"Male","13023"
"","27413"
"Not Reported",""
"Female","1310"
"Male","1357"
"","2667"
"Others",""
"Female","1816"
"Male","1666"
"","3482"
"Punjabi",""
"Female","88"
"Male","81"
"","169"
"Rai",""
"Female","394"
"Male","389"
"","783"
"Rajbanshi",""
"Female","12"
"Male","15"
"","27"
"Raji",""
"Female","375"
"Male","373"
"","748"
"Rajsthani",""
"Female","242"
"Male","262"
"","504"
"Santhali",""
"Female","195"
"Male","217"
"","412"
"Sherpa",""
"Female","408"
"Male","392"
"","800"
"Sign Language",""
"Female","123"
"Male","156"
"","279"
"Sindhi",""
"Female","12"
"Male","14"
"","26"
"Sonaha",""
"Female","255"
"Male","248"
"","503"
"Sunuwar",""
"Female","51"
"Male","47"
"","98"
"Tamang",""
"Female","1584"
"Male","1423"
"","3007"
"Thakali",""
"Female","157"
"Male","147"
"","304"
"Tharu",""
"Female","306542"
"Male","288762"
"","595304"
"Uranw/Urau",""
"Female","73"
"Male","84"
"","157"
"Urdu",""
"Female","113885"
"Male","114486"
"","228371"
"Yakkha",""
"Female","105"
"Male","111"
"","216"
