"Population by Caste Ethinicity","Number"
"Brahman - Hill",""
"Female","2409"
"Male","2082"
"","4491"
"Chhetri",""
"Female","6836"
"Male","6055"
"","12891"
"Dalit Others",""
"Female","2032"
"Male","1772"
"","3804"
"Damai/Dholi",""
"Female","426"
"Male","367"
"","793"
"Kami",""
"Female","2119"
"Male","1814"
"","3933"
"Lohar",""
"Female","80"
"Male","53"
"","133"
"Magar",""
"Female","423"
"Male","423"
"","846"
"Others",""
"Female","16"
"Male","22"
"","38"
"Sarki",""
"Female","54"
"Male","47"
"","101"
"Terai Others",""
"Female","7"
"Male","9"
"","16"
"Thakuri",""
"Female","211"
"Male","199"
"","410"
"Tharu",""
"Female","13"
"Male","16"
"","29"
