"Population by disability type","Number"
"Blind/low vision",""
"Female","124"
"Male","99"
"","223"
"Deaf/hard of hearing",""
"Female","37"
"Male","45"
"","82"
"Deaf-Blind",""
"Female","3"
"Male","2"
"","5"
"Intellectual disable",""
"Female","9"
"Male","2"
"","11"
"Mental disable",""
"Female","18"
"Male","19"
"","37"
"Multiple disable",""
"Female","31"
"Male","44"
"","75"
"No disability",""
"Female","14217"
"Male","12392"
"","26609"
"Physical",""
"Female","170"
"Male","217"
"","387"
"Speech problem",""
"Female","17"
"Male","39"
"","56"
