"Population by Educational Attainment","Number"
"Beginners",""
"Female","386"
"Male","399"
"Graduate and Equivalent",""
"Female","25"
"Male","84"
"Intermediate and Equivalent",""
"Female","97"
"Male","287"
"Level not Stated",""
"Female","25"
"Male","19"
"Lower Secondary (Class 6-8)",""
"Female","748"
"Male","1335"
"Non Formal Education",""
"Female","529"
"Male","529"
"Others",""
"Female","2"
"Male","4"
"Post Graduate Equivalent and Above",""
"Female","0"
"Male","15"
"Primary Education (1-5 Class)",""
"Female","2961"
"Male","3469"
"Secondary Level (Class 9-10)",""
"Female","281"
"Male","670"
"SLC and Equivalent",""
"Female","177"
"Male","609"
