"Population by Educational Attainment","Number"
"Beginners",""
"Female","448"
"Male","447"
"Graduate and Equivalent",""
"Female","13"
"Male","104"
"Intermediate and Equivalent",""
"Female","251"
"Male","431"
"Level not Stated",""
"Female","6"
"Male","8"
"Lower Secondary (Class 6-8)",""
"Female","1058"
"Male","1553"
"Non Formal Education",""
"Female","435"
"Male","252"
"Others",""
"Female","3"
"Male","1"
"Post Graduate Equivalent and Above",""
"Female","4"
"Male","27"
"Primary Education (1-5 Class)",""
"Female","2674"
"Male","3446"
"Secondary Level (Class 9-10)",""
"Female","483"
"Male","892"
"SLC and Equivalent",""
"Female","276"
"Male","516"
