"Population by Single Year of Age","Number"
"0",""
"Female","345"
"Male","336"
"1",""
"Female","233"
"Male","266"
"10",""
"Female","394"
"Male","397"
"11",""
"Female","266"
"Male","292"
"12",""
"Female","437"
"Male","385"
"13",""
"Female","318"
"Male","284"
"14",""
"Female","299"
"Male","312"
"15",""
"Female","322"
"Male","306"
"16",""
"Female","274"
"Male","261"
"17",""
"Female","232"
"Male","221"
"18",""
"Female","370"
"Male","294"
"19",""
"Female","179"
"Male","129"
"2",""
"Female","323"
"Male","317"
"20",""
"Female","350"
"Male","166"
"21",""
"Female","188"
"Male","117"
"22",""
"Female","291"
"Male","151"
"23",""
"Female","210"
"Male","100"
"24",""
"Female","230"
"Male","91"
"25",""
"Female","307"
"Male","147"
"26",""
"Female","197"
"Male","97"
"27",""
"Female","135"
"Male","65"
"28",""
"Female","265"
"Male","147"
"29",""
"Female","74"
"Male","47"
"3",""
"Female","322"
"Male","311"
"30",""
"Female","385"
"Male","197"
"31",""
"Female","75"
"Male","56"
"32",""
"Female","200"
"Male","143"
"33",""
"Female","121"
"Male","79"
"34",""
"Female","99"
"Male","78"
"35",""
"Female","315"
"Male","224"
"36",""
"Female","117"
"Male","94"
"37",""
"Female","55"
"Male","61"
"38",""
"Female","157"
"Male","99"
"39",""
"Female","59"
"Male","52"
"4",""
"Female","373"
"Male","402"
"40",""
"Female","322"
"Male","200"
"41",""
"Female","37"
"Male","60"
"42",""
"Female","118"
"Male","112"
"43",""
"Female","64"
"Male","47"
"44",""
"Female","77"
"Male","64"
"45",""
"Female","219"
"Male","159"
"46",""
"Female","51"
"Male","74"
"47",""
"Female","53"
"Male","46"
"48",""
"Female","115"
"Male","83"
"49",""
"Female","39"
"Male","39"
"5",""
"Female","337"
"Male","389"
"50",""
"Female","219"
"Male","185"
"51",""
"Female","33"
"Male","38"
"52",""
"Female","86"
"Male","102"
"53",""
"Female","52"
"Male","54"
"54",""
"Female","44"
"Male","55"
"55",""
"Female","153"
"Male","136"
"56",""
"Female","63"
"Male","68"
"57",""
"Female","47"
"Male","42"
"58",""
"Female","77"
"Male","76"
"59",""
"Female","37"
"Male","48"
"6",""
"Female","306"
"Male","345"
"60",""
"Female","243"
"Male","154"
"61",""
"Female","40"
"Male","32"
"62",""
"Female","107"
"Male","85"
"63",""
"Female","55"
"Male","42"
"64",""
"Female","50"
"Male","40"
"65",""
"Female","163"
"Male","120"
"66",""
"Female","39"
"Male","43"
"67",""
"Female","20"
"Male","33"
"68",""
"Female","47"
"Male","69"
"69",""
"Female","22"
"Male","21"
"7",""
"Female","281"
"Male","288"
"70",""
"Female","155"
"Male","97"
"71",""
"Female","27"
"Male","23"
"72",""
"Female","50"
"Male","53"
"73",""
"Female","33"
"Male","37"
"74",""
"Female","16"
"Male","26"
"75",""
"Female","84"
"Male","55"
"76",""
"Female","23"
"Male","23"
"77",""
"Female","14"
"Male","23"
"78",""
"Female","26"
"Male","21"
"79",""
"Female","5"
"Male","7"
"8",""
"Female","418"
"Male","403"
"80",""
"Female","54"
"Male","40"
"81",""
"Female","4"
"Male","10"
"82",""
"Female","16"
"Male","13"
"83",""
"Female","10"
"Male","14"
"84",""
"Female","5"
"Male","9"
"85",""
"Female","36"
"Male","46"
"9",""
"Female","303"
"Male","247"
