"Population by Caste Ethinicity","Number"
"Brahman - Hill",""
"Female","3710"
"Male","3057"
"","6767"
"Chhetri",""
"Female","6163"
"Male","5105"
"","11268"
"Dalit Others",""
"Female","1007"
"Male","963"
"","1970"
"Damai/Dholi",""
"Female","111"
"Male","89"
"","200"
"Kami",""
"Female","1244"
"Male","1059"
"","2303"
"Lohar",""
"Female","136"
"Male","124"
"","260"
"Newar",""
"Female","10"
"Male","11"
"","21"
"Others",""
"Female","15"
"Male","18"
"","33"
"Sanyasi/Dasnami",""
"Female","186"
"Male","138"
"","324"
"Sarki",""
"Female","363"
"Male","310"
"","673"
"Thakuri",""
"Female","467"
"Male","346"
"","813"
