"Population by Caste Ethinicity","Number"
"Brahman - Hill",""
"Female","2735"
"Male","2419"
"","5154"
"Chhetri",""
"Female","3186"
"Male","2865"
"","6051"
"Damai/Dholi",""
"Female","465"
"Male","412"
"","877"
"Dhanuk",""
"Female","11"
"Male","7"
"","18"
"Gurung",""
"Female","213"
"Male","191"
"","404"
"Kami",""
"Female","522"
"Male","468"
"","990"
"Kathabaniyan",""
"Female","480"
"Male","441"
"","921"
"Lohar",""
"Female","1901"
"Male","1564"
"","3465"
"Others",""
"Female","17"
"Male","7"
"","24"
"Sanyasi/Dasnami",""
"Female","13"
"Male","9"
"","22"
"Sarki",""
"Female","100"
"Male","105"
"","205"
"Sudhi",""
"Female","520"
"Male","448"
"","968"
"Terai Others",""
"Female","10"
"Male","8"
"","18"
"Thakuri",""
"Female","1901"
"Male","1471"
"","3372"
"Undefined Others",""
"Female","37"
"Male","19"
"","56"
