"Population by Educational Attainment","Number"
"Beginners",""
"Female","272"
"Male","251"
"","523"
"Graduate and Equivalent",""
"Female","12"
"Male","94"
"","106"
"Intermediate and Equivalent",""
"Female","202"
"Male","394"
"","596"
"Level not Stated",""
"Female","57"
"Male","64"
"","121"
"Lower Secondary (Class 6-8)",""
"Female","1187"
"Male","1728"
"","2915"
"Non Formal Education",""
"Female","165"
"Male","164"
"","329"
"Others",""
"Female","8"
"Male","7"
"","15"
"Post Graduate Equivalent and Above",""
"Female","2"
"Male","54"
"","56"
"Primary Education (1-5 Class)",""
"Female","2980"
"Male","3438"
"","6418"
"Secondary Level (Class 9-10)",""
"Female","524"
"Male","1010"
"","1534"
"SLC and Equivalent",""
"Female","258"
"Male","414"
"","672"
