"Population by Educational Attainment","Number"
"Beginners",""
"Female","657"
"Male","626"
"","1283"
"Graduate and Equivalent",""
"Female","16"
"Male","116"
"","132"
"Intermediate and Equivalent",""
"Female","198"
"Male","599"
"","797"
"Level not Stated",""
"Female","31"
"Male","36"
"","67"
"Lower Secondary (Class 6-8)",""
"Female","1317"
"Male","2508"
"","3825"
"Non Formal Education",""
"Female","203"
"Male","199"
"","402"
"Others",""
"Female","5"
"Male","19"
"","24"
"Post Graduate Equivalent and Above",""
"Female","1"
"Male","35"
"","36"
"Primary Education (1-5 Class)",""
"Female","4678"
"Male","6080"
"","10758"
"Secondary Level (Class 9-10)",""
"Female","452"
"Male","1233"
"","1685"
"SLC and Equivalent",""
"Female","213"
"Male","686"
"","899"
