"Industries Employment","Number"
"Accommodation,  food",""
"Female","104"
"Male","526"
"Administrative, support service",""
"Female","2"
"Male","14"
"Agriculture, forestry and  fishing",""
"Female","174"
"Male","474"
"Arts, entertainment, recreation",""
"Female","0"
"Male","2"
"Construction",""
"Female","0"
"Male","14"
"Education",""
"Female","1381"
"Male","3164"
"Electricity, gas and water",""
"Female","2"
"Male","72"
"Financial intermediation and insurance",""
"Female","91"
"Male","290"
"Health, social work",""
"Female","373"
"Male","315"
"Information and communication",""
"Female","7"
"Male","25"
"Manufacturing",""
"Female","169"
"Male","538"
"Other service activities",""
"Female","400"
"Male","656"
"Professional, scientific, techniqual activity",""
"Female","4"
"Male","23"
"Real estate, renting and business activity",""
"Female","0"
"Male","0"
"Transportation,  storage",""
"Female","14"
"Male","113"
"Water supply, wet management",""
"Female","0"
"Male","11"
"Wholesale, retail trade",""
"Female","689"
"Male","2621"
