"Population by Five Years Age Group","Number"
"0-4",""
"Female","2382"
"Male","2470"
"10-14",""
"Female","2393"
"Male","2356"
"15-19",""
"Female","1618"
"Male","1674"
"20-24",""
"Female","1457"
"Male","1202"
"25-29",""
"Female","1273"
"Male","1072"
"30-34",""
"Female","987"
"Male","824"
"35-39",""
"Female","872"
"Male","801"
"40-44",""
"Female","737"
"Male","661"
"45-49",""
"Female","594"
"Male","575"
"50-54",""
"Female","486"
"Male","491"
"55-59",""
"Female","402"
"Male","411"
"5-9",""
"Female","2457"
"Male","2681"
"60-64",""
"Female","462"
"Male","329"
"65-69",""
"Female","319"
"Male","276"
"70-74",""
"Female","295"
"Male","207"
"75+",""
"Female","274"
"Male","186"
