"Population by Single Year of Age","Number"
"0",""
"Female","444"
"Male","492"
"1",""
"Female","361"
"Male","389"
"10",""
"Female","635"
"Male","575"
"11",""
"Female","382"
"Male","390"
"12",""
"Female","512"
"Male","550"
"13",""
"Female","426"
"Male","418"
"14",""
"Female","438"
"Male","423"
"15",""
"Female","367"
"Male","370"
"16",""
"Female","356"
"Male","369"
"17",""
"Female","290"
"Male","279"
"18",""
"Female","402"
"Male","450"
"19",""
"Female","203"
"Male","206"
"2",""
"Female","482"
"Male","491"
"20",""
"Female","420"
"Male","323"
"21",""
"Female","199"
"Male","203"
"22",""
"Female","324"
"Male","298"
"23",""
"Female","248"
"Male","185"
"24",""
"Female","266"
"Male","193"
"25",""
"Female","361"
"Male","293"
"26",""
"Female","290"
"Male","236"
"27",""
"Female","161"
"Male","163"
"28",""
"Female","341"
"Male","274"
"29",""
"Female","120"
"Male","106"
"3",""
"Female","506"
"Male","542"
"30",""
"Female","374"
"Male","306"
"31",""
"Female","116"
"Male","112"
"32",""
"Female","216"
"Male","199"
"33",""
"Female","140"
"Male","102"
"34",""
"Female","141"
"Male","105"
"35",""
"Female","316"
"Male","312"
"36",""
"Female","154"
"Male","146"
"37",""
"Female","92"
"Male","87"
"38",""
"Female","236"
"Male","181"
"39",""
"Female","74"
"Male","75"
"4",""
"Female","589"
"Male","556"
"40",""
"Female","354"
"Male","306"
"41",""
"Female","87"
"Male","87"
"42",""
"Female","119"
"Male","118"
"43",""
"Female","81"
"Male","73"
"44",""
"Female","96"
"Male","77"
"45",""
"Female","244"
"Male","227"
"46",""
"Female","92"
"Male","101"
"47",""
"Female","56"
"Male","66"
"48",""
"Female","156"
"Male","120"
"49",""
"Female","46"
"Male","61"
"5",""
"Female","503"
"Male","614"
"50",""
"Female","230"
"Male","200"
"51",""
"Female","50"
"Male","65"
"52",""
"Female","84"
"Male","92"
"53",""
"Female","70"
"Male","70"
"54",""
"Female","52"
"Male","64"
"55",""
"Female","154"
"Male","151"
"56",""
"Female","63"
"Male","81"
"57",""
"Female","44"
"Male","65"
"58",""
"Female","105"
"Male","82"
"59",""
"Female","36"
"Male","32"
"6",""
"Female","534"
"Male","554"
"60",""
"Female","241"
"Male","135"
"61",""
"Female","54"
"Male","55"
"62",""
"Female","75"
"Male","60"
"63",""
"Female","47"
"Male","47"
"64",""
"Female","45"
"Male","32"
"65",""
"Female","157"
"Male","111"
"66",""
"Female","46"
"Male","34"
"67",""
"Female","32"
"Male","41"
"68",""
"Female","78"
"Male","67"
"69",""
"Female","6"
"Male","23"
"7",""
"Female","422"
"Male","456"
"70",""
"Female","138"
"Male","91"
"71",""
"Female","40"
"Male","29"
"72",""
"Female","71"
"Male","41"
"73",""
"Female","27"
"Male","29"
"74",""
"Female","19"
"Male","17"
"75",""
"Female","82"
"Male","43"
"76",""
"Female","23"
"Male","21"
"77",""
"Female","12"
"Male","12"
"78",""
"Female","26"
"Male","24"
"79",""
"Female","6"
"Male","7"
"8",""
"Female","598"
"Male","631"
"80",""
"Female","61"
"Male","24"
"81",""
"Female","5"
"Male","9"
"82",""
"Female","13"
"Male","9"
"83",""
"Female","7"
"Male","6"
"84",""
"Female","8"
"Male","7"
"85",""
"Female","31"
"Male","24"
"9",""
"Female","400"
"Male","426"
