"Population by Five Years Age Group","Number"
"0-4",""
"Female","993"
"Male","1076"
"10-14",""
"Female","1229"
"Male","1250"
"15-19",""
"Female","922"
"Male","855"
"20-24",""
"Female","690"
"Male","520"
"25-29",""
"Female","586"
"Male","432"
"30-34",""
"Female","519"
"Male","362"
"35-39",""
"Female","481"
"Male","396"
"40-44",""
"Female","362"
"Male","291"
"45-49",""
"Female","322"
"Male","260"
"50-54",""
"Female","280"
"Male","249"
"55-59",""
"Female","233"
"Male","210"
"5-9",""
"Female","1247"
"Male","1244"
"60-64",""
"Female","282"
"Male","187"
"65-69",""
"Female","217"
"Male","160"
"70-74",""
"Female","131"
"Male","84"
"75+",""
"Female","123"
"Male","103"
