"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","79"
"Male","55"
"Brahman - Hill",""
"Female","807"
"Male","674"
"Chhetri",""
"Female","5012"
"Male","4171"
"Dalit Others",""
"Female","435"
"Male","412"
"Damai/Dholi",""
"Female","81"
"Male","64"
"Kami",""
"Female","361"
"Male","308"
"Magar",""
"Female","20"
"Male","14"
"Others",""
"Female","4"
"Male","3"
"Rajput",""
"Female","22"
"Male","23"
"Sarki",""
"Female","177"
"Male","139"
"Thakuri",""
"Female","19"
"Male","9"
"Tharu",""
"Female","40"
"Male","43"
