"Population by Five Years Age Group","Number"
"0-4",""
"Female","853"
"Male","857"
"10-14",""
"Female","811"
"Male","822"
"15-19",""
"Female","583"
"Male","554"
"20-24",""
"Female","477"
"Male","389"
"25-29",""
"Female","385"
"Male","306"
"30-34",""
"Female","356"
"Male","231"
"35-39",""
"Female","318"
"Male","283"
"40-44",""
"Female","266"
"Male","210"
"45-49",""
"Female","243"
"Male","199"
"50-54",""
"Female","178"
"Male","192"
"55-59",""
"Female","140"
"Male","148"
"5-9",""
"Female","922"
"Male","931"
"60-64",""
"Female","170"
"Male","148"
"65-69",""
"Female","133"
"Male","111"
"70-74",""
"Female","99"
"Male","75"
"75+",""
"Female","82"
"Male","97"
