"Population by Five Years Age Group","Number"
"0-4",""
"Female","1203"
"Male","1311"
"10-14",""
"Female","1340"
"Male","1379"
"15-19",""
"Female","1011"
"Male","920"
"20-24",""
"Female","788"
"Male","532"
"25-29",""
"Female","634"
"Male","397"
"30-34",""
"Female","523"
"Male","334"
"35-39",""
"Female","503"
"Male","320"
"40-44",""
"Female","441"
"Male","274"
"45-49",""
"Female","403"
"Male","265"
"50-54",""
"Female","327"
"Male","264"
"55-59",""
"Female","249"
"Male","227"
"5-9",""
"Female","1341"
"Male","1468"
"60-64",""
"Female","318"
"Male","204"
"65-69",""
"Female","255"
"Male","163"
"70-74",""
"Female","202"
"Male","122"
"75+",""
"Female","153"
"Male","107"
