"Population by Single Year of Age","Number"
"0",""
"Female","2320"
"Male","2475"
"1",""
"Female","1989"
"Male","2112"
"10",""
"Female","3614"
"Male","3483"
"11",""
"Female","2196"
"Male","2281"
"12",""
"Female","3517"
"Male","3530"
"13",""
"Female","2470"
"Male","2466"
"14",""
"Female","2634"
"Male","2685"
"15",""
"Female","2363"
"Male","2267"
"16",""
"Female","2522"
"Male","2433"
"17",""
"Female","1443"
"Male","1436"
"18",""
"Female","2691"
"Male","2490"
"19",""
"Female","1161"
"Male","1100"
"2",""
"Female","2736"
"Male","2892"
"20",""
"Female","2304"
"Male","1787"
"21",""
"Female","1181"
"Male","1016"
"22",""
"Female","1851"
"Male","1462"
"23",""
"Female","1336"
"Male","975"
"24",""
"Female","1547"
"Male","1125"
"25",""
"Female","2077"
"Male","1547"
"26",""
"Female","1512"
"Male","1125"
"27",""
"Female","972"
"Male","845"
"28",""
"Female","1954"
"Male","1497"
"29",""
"Female","591"
"Male","523"
"3",""
"Female","2929"
"Male","3081"
"30",""
"Female","2482"
"Male","1692"
"31",""
"Female","544"
"Male","509"
"32",""
"Female","1283"
"Male","1098"
"33",""
"Female","777"
"Male","536"
"34",""
"Female","845"
"Male","633"
"35",""
"Female","2237"
"Male","1798"
"36",""
"Female","943"
"Male","788"
"37",""
"Female","437"
"Male","401"
"38",""
"Female","1327"
"Male","1041"
"39",""
"Female","383"
"Male","344"
"4",""
"Female","3268"
"Male","3359"
"40",""
"Female","2371"
"Male","1689"
"41",""
"Female","432"
"Male","476"
"42",""
"Female","732"
"Male","692"
"43",""
"Female","446"
"Male","382"
"44",""
"Female","531"
"Male","421"
"45",""
"Female","1787"
"Male","1377"
"46",""
"Female","559"
"Male","513"
"47",""
"Female","313"
"Male","333"
"48",""
"Female","910"
"Male","717"
"49",""
"Female","277"
"Male","261"
"5",""
"Female","3095"
"Male","3476"
"50",""
"Female","1575"
"Male","1205"
"51",""
"Female","266"
"Male","333"
"52",""
"Female","581"
"Male","613"
"53",""
"Female","319"
"Male","339"
"54",""
"Female","350"
"Male","379"
"55",""
"Female","1053"
"Male","946"
"56",""
"Female","397"
"Male","413"
"57",""
"Female","246"
"Male","293"
"58",""
"Female","613"
"Male","560"
"59",""
"Female","227"
"Male","218"
"6",""
"Female","3296"
"Male","3257"
"60",""
"Female","1681"
"Male","967"
"61",""
"Female","361"
"Male","306"
"62",""
"Female","550"
"Male","383"
"63",""
"Female","294"
"Male","262"
"64",""
"Female","337"
"Male","236"
"65",""
"Female","1256"
"Male","761"
"66",""
"Female","286"
"Male","266"
"67",""
"Female","218"
"Male","209"
"68",""
"Female","427"
"Male","399"
"69",""
"Female","93"
"Male","130"
"7",""
"Female","2697"
"Male","2641"
"70",""
"Female","1002"
"Male","566"
"71",""
"Female","207"
"Male","141"
"72",""
"Female","337"
"Male","244"
"73",""
"Female","141"
"Male","122"
"74",""
"Female","100"
"Male","91"
"75",""
"Female","458"
"Male","304"
"76",""
"Female","117"
"Male","101"
"77",""
"Female","68"
"Male","68"
"78",""
"Female","136"
"Male","142"
"79",""
"Female","42"
"Male","47"
"8",""
"Female","3667"
"Male","3746"
"80",""
"Female","281"
"Male","157"
"81",""
"Female","38"
"Male","43"
"82",""
"Female","56"
"Male","54"
"83",""
"Female","35"
"Male","36"
"84",""
"Female","39"
"Male","51"
"85",""
"Female","210"
"Male","152"
"9",""
"Female","2419"
"Male","2444"
