"Population by Mother tongue","Number"
"Baitadeli",""
"Female","6"
"Male","12"
"","18"
"Bajhangi",""
"Female","24462"
"Male","21408"
"","45870"
"Dhuleli",""
"Female","173"
"Male","165"
"","338"
"Doteli",""
"Female","508"
"Male","430"
"","938"
"Gurung",""
"Female","54"
"Male","56"
"","110"
"Hindi",""
"Female","7"
"Male","7"
"","14"
"Nepali",""
"Female","76914"
"Male","70016"
"","146930"
"Newar",""
"Female","5"
"Male","9"
"","14"
"Not Reported",""
"Female","52"
"Male","36"
"","88"
"Others",""
"Female","78"
"Male","108"
"","186"
"Rai",""
"Female","10"
"Male","10"
"","20"
"Sherpa",""
"Female","15"
"Male","12"
"","27"
"Tamang",""
"Female","72"
"Male","76"
"","148"
