"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","139"
"Male","148"
"Bhote",""
"Female","119"
"Male","117"
"Brahman - Hill",""
"Female","752"
"Male","851"
"Chhetri",""
"Female","5059"
"Male","5352"
"Dalit Others",""
"Female","96"
"Male","85"
"Damai/Dholi",""
"Female","297"
"Male","317"
"Gurung",""
"Female","14"
"Male","15"
"Kami",""
"Female","493"
"Male","487"
"Lohar",""
"Female","670"
"Male","654"
"Newar",""
"Female","7"
"Male","20"
"Others",""
"Female","17"
"Male","47"
"Sanyasi/Dasnami",""
"Female","164"
"Male","159"
"Sarki",""
"Female","116"
"Male","141"
"Tamang",""
"Female","8"
"Male","12"
"Terai Others",""
"Female","12"
"Male","7"
"Thakuri",""
"Female","195"
"Male","225"
"Tharu",""
"Female","4"
"Male","19"
