"Population by disability type","Number"
"Blind/low vision",""
"Female","57"
"Male","60"
"","117"
"Deaf/hard of hearing",""
"Female","44"
"Male","57"
"","101"
"Deaf-Blind",""
"Female","7"
"Male","2"
"","9"
"Intellectual disable",""
"Female","4"
"Male","10"
"","14"
"Mental disable",""
"Female","8"
"Male","5"
"","13"
"Multiple disable",""
"Female","11"
"Male","9"
"","20"
"No disability",""
"Female","4395"
"Male","4403"
"","8798"
"Physical",""
"Female","48"
"Male","61"
"","109"
"Speech problem",""
"Female","15"
"Male","18"
"","33"
