"Industries Employment","Number"
"Accommodation,  food",""
"Female","389"
"Male","448"
"Administrative, support service",""
"Female","1"
"Male","9"
"Agriculture, forestry and  fishing",""
"Female","94"
"Male","325"
"Arts, entertainment, recreation",""
"Female","0"
"Male","0"
"Construction",""
"Female","0"
"Male","1"
"Education",""
"Female","619"
"Male","1710"
"Electricity, gas and water",""
"Female","3"
"Male","47"
"Financial intermediation and insurance",""
"Female","76"
"Male","167"
"Health, social work",""
"Female","186"
"Male","186"
"Information and communication",""
"Female","7"
"Male","20"
"Manufacturing",""
"Female","274"
"Male","837"
"Other service activities",""
"Female","64"
"Male","123"
"Professional, scientific, techniqual activity",""
"Female","4"
"Male","17"
"Real estate, renting and business activity",""
"Female","0"
"Male","0"
"Transportation,  storage",""
"Female","8"
"Male","56"
"Water supply, wet management",""
"Female","0"
"Male","7"
"Wholesale, retail trade",""
"Female","1223"
"Male","1951"
