"Population by Educational Attainment","Number"
"Beginners",""
"Female","321"
"Male","358"
"","679"
"Graduate and Equivalent",""
"Female","10"
"Male","54"
"","64"
"Intermediate and Equivalent",""
"Female","86"
"Male","211"
"","297"
"Level not Stated",""
"Female","33"
"Male","17"
"","50"
"Lower Secondary (Class 6-8)",""
"Female","1016"
"Male","1474"
"","2490"
"Non Formal Education",""
"Female","205"
"Male","141"
"","346"
"Others",""
"Female","7"
"Male","13"
"","20"
"Post Graduate Equivalent and Above",""
"Female","0"
"Male","10"
"","10"
"Primary Education (1-5 Class)",""
"Female","2787"
"Male","3176"
"","5963"
"Secondary Level (Class 9-10)",""
"Female","330"
"Male","563"
"","893"
"SLC and Equivalent",""
"Female","136"
"Male","277"
"","413"
