"Population by Mother tongue","Number"
"Byansi",""
"Female","31"
"Male","25"
"","56"
"Doteli",""
"Female","10376"
"Male","9492"
"","19868"
"Hindi",""
"Female","16"
"Male","5"
"","21"
"Lapcha",""
"Female","94"
"Male","77"
"","171"
"Magar",""
"Female","28"
"Male","26"
"","54"
"Maithili",""
"Female","7"
"Male","28"
"","35"
"Nepali",""
"Female","487"
"Male","457"
"","944"
"Others",""
"Female","19"
"Male","32"
"","51"
"Tamang",""
"Female","6"
"Male","10"
"","16"
"Tharu",""
"Female","5"
"Male","10"
"","15"
