"Population by Five Years Age Group","Number"
"0-4",""
"Female","7937"
"Male","8187"
"10-14",""
"Female","9241"
"Male","9332"
"15-19",""
"Female","7294"
"Male","6538"
"20-24",""
"Female","6462"
"Male","4073"
"25-29",""
"Female","5096"
"Male","3527"
"30-34",""
"Female","4298"
"Male","3379"
"35-39",""
"Female","3969"
"Male","3371"
"40-44",""
"Female","3240"
"Male","3066"
"45-49",""
"Female","2901"
"Male","2879"
"50-54",""
"Female","2401"
"Male","2527"
"55-59",""
"Female","2054"
"Male","2187"
"5-9",""
"Female","9032"
"Male","9033"
"60-64",""
"Female","2038"
"Male","1832"
"65-69",""
"Female","1562"
"Male","1520"
"70-74",""
"Female","1031"
"Male","996"
"75+",""
"Female","1113"
"Male","1158"
