"Population by Single Year of Age","Number"
"0",""
"Female","1499"
"Male","1470"
"1",""
"Female","1277"
"Male","1447"
"10",""
"Female","2185"
"Male","2160"
"11",""
"Female","1415"
"Male","1467"
"12",""
"Female","2274"
"Male","2237"
"13",""
"Female","1589"
"Male","1622"
"14",""
"Female","1778"
"Male","1846"
"15",""
"Female","1629"
"Male","1524"
"16",""
"Female","1603"
"Male","1434"
"17",""
"Female","1262"
"Male","1134"
"18",""
"Female","1835"
"Male","1633"
"19",""
"Female","965"
"Male","813"
"2",""
"Female","1625"
"Male","1683"
"20",""
"Female","1632"
"Male","1057"
"21",""
"Female","1095"
"Male","684"
"22",""
"Female","1483"
"Male","1027"
"23",""
"Female","1042"
"Male","602"
"24",""
"Female","1210"
"Male","703"
"25",""
"Female","1508"
"Male","925"
"26",""
"Female","1028"
"Male","691"
"27",""
"Female","782"
"Male","568"
"28",""
"Female","1284"
"Male","939"
"29",""
"Female","494"
"Male","404"
"3",""
"Female","1690"
"Male","1682"
"30",""
"Female","1661"
"Male","1166"
"31",""
"Female","492"
"Male","422"
"32",""
"Female","986"
"Male","774"
"33",""
"Female","567"
"Male","490"
"34",""
"Female","592"
"Male","527"
"35",""
"Female","1614"
"Male","1260"
"36",""
"Female","752"
"Male","671"
"37",""
"Female","429"
"Male","365"
"38",""
"Female","867"
"Male","761"
"39",""
"Female","307"
"Male","314"
"4",""
"Female","1846"
"Male","1905"
"40",""
"Female","1464"
"Male","1223"
"41",""
"Female","369"
"Male","415"
"42",""
"Female","650"
"Male","660"
"43",""
"Female","384"
"Male","368"
"44",""
"Female","373"
"Male","400"
"45",""
"Female","1287"
"Male","1097"
"46",""
"Female","456"
"Male","462"
"47",""
"Female","301"
"Male","352"
"48",""
"Female","608"
"Male","687"
"49",""
"Female","249"
"Male","281"
"5",""
"Female","1796"
"Male","1969"
"50",""
"Female","1099"
"Male","938"
"51",""
"Female","279"
"Male","411"
"52",""
"Female","470"
"Male","581"
"53",""
"Female","280"
"Male","303"
"54",""
"Female","273"
"Male","294"
"55",""
"Female","794"
"Male","719"
"56",""
"Female","330"
"Male","421"
"57",""
"Female","264"
"Male","262"
"58",""
"Female","465"
"Male","536"
"59",""
"Female","201"
"Male","249"
"6",""
"Female","1925"
"Male","1868"
"60",""
"Female","970"
"Male","721"
"61",""
"Female","255"
"Male","287"
"62",""
"Female","384"
"Male","349"
"63",""
"Female","244"
"Male","227"
"64",""
"Female","185"
"Male","248"
"65",""
"Female","796"
"Male","582"
"66",""
"Female","197"
"Male","196"
"67",""
"Female","173"
"Male","191"
"68",""
"Female","300"
"Male","408"
"69",""
"Female","96"
"Male","143"
"7",""
"Female","1579"
"Male","1592"
"70",""
"Female","498"
"Male","398"
"71",""
"Female","125"
"Male","130"
"72",""
"Female","242"
"Male","246"
"73",""
"Female","106"
"Male","134"
"74",""
"Female","60"
"Male","88"
"75",""
"Female","311"
"Male","278"
"76",""
"Female","98"
"Male","97"
"77",""
"Female","40"
"Male","55"
"78",""
"Female","121"
"Male","134"
"79",""
"Female","32"
"Male","47"
"8",""
"Female","2152"
"Male","2083"
"80",""
"Female","178"
"Male","154"
"81",""
"Female","36"
"Male","39"
"82",""
"Female","48"
"Male","60"
"83",""
"Female","24"
"Male","44"
"84",""
"Female","25"
"Male","53"
"85",""
"Female","200"
"Male","197"
"9",""
"Female","1580"
"Male","1521"
