"Population by Educational Attainment","Number"
"Beginners",""
"Female","2436"
"Male","2463"
"","4899"
"Graduate and Equivalent",""
"Female","380"
"Male","959"
"","1339"
"Intermediate and Equivalent",""
"Female","1644"
"Male","2561"
"","4205"
"Level not Stated",""
"Female","129"
"Male","143"
"","272"
"Lower Secondary (Class 6-8)",""
"Female","6651"
"Male","9497"
"","16148"
"Non Formal Education",""
"Female","1018"
"Male","611"
"","1629"
"Others",""
"Female","39"
"Male","51"
"","90"
"Post Graduate Equivalent and Above",""
"Female","56"
"Male","369"
"","425"
"Primary Education (1-5 Class)",""
"Female","16695"
"Male","19231"
"","35926"
"Secondary Level (Class 9-10)",""
"Female","3281"
"Male","5447"
"","8728"
"SLC and Equivalent",""
"Female","2194"
"Male","3701"
"","5895"
