"Population by Caste Ethinicity","Number"
"Badi",""
"Female","83"
"Male","86"
"","169"
"Brahman - Hill",""
"Female","359"
"Male","396"
"","755"
"Chhetri",""
"Female","4000"
"Male","3724"
"","7724"
"Dalit Others",""
"Female","9"
"Male","7"
"","16"
"Damai/Dholi",""
"Female","124"
"Male","122"
"","246"
"Gurung",""
"Female","29"
"Male","30"
"","59"
"Kami",""
"Female","763"
"Male","757"
"","1520"
"Magar",""
"Female","1541"
"Male","1595"
"","3136"
"Others",""
"Female","15"
"Male","12"
"","27"
"Sanyasi/Dasnami",""
"Female","56"
"Male","60"
"","116"
"Sarki",""
"Female","678"
"Male","653"
"","1331"
"Tamang",""
"Female","70"
"Male","81"
"","151"
"Thakuri",""
"Female","797"
"Male","673"
"","1470"
