"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","137"
"Male","109"
"Brahman - Hill",""
"Female","421"
"Male","405"
"Chhetri",""
"Female","5692"
"Male","5110"
"Dalit Others",""
"Female","51"
"Male","58"
"Damai/Dholi",""
"Female","407"
"Male","374"
"Gharti/Bhujel",""
"Female","1"
"Male","10"
"Kami",""
"Female","1412"
"Male","1217"
"Lohar",""
"Female","13"
"Male","12"
"Magar",""
"Female","353"
"Male","358"
"Others",""
"Female","16"
"Male","20"
"Sanyasi/Dasnami",""
"Female","26"
"Male","20"
"Sarki",""
"Female","119"
"Male","117"
"Terai Others",""
"Female","15"
"Male","7"
"Thakuri",""
"Female","759"
"Male","663"
