"Population by Educational Attainment","Number"
"Beginners",""
"Female","451"
"Male","446"
"","897"
"Graduate and Equivalent",""
"Female","4"
"Male","36"
"","40"
"Intermediate and Equivalent",""
"Female","41"
"Male","147"
"","188"
"Level not Stated",""
"Female","9"
"Male","10"
"","19"
"Lower Secondary (Class 6-8)",""
"Female","503"
"Male","1003"
"","1506"
"Non Formal Education",""
"Female","140"
"Male","95"
"","235"
"Others",""
"Female","4"
"Male","6"
"","10"
"Post Graduate Equivalent and Above",""
"Female","1"
"Male","6"
"","7"
"Primary Education (1-5 Class)",""
"Female","2234"
"Male","2847"
"","5081"
"Secondary Level (Class 9-10)",""
"Female","197"
"Male","503"
"","700"
"SLC and Equivalent",""
"Female","96"
"Male","262"
"","358"
