"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","409"
"Male","287"
"Brahman - Hill",""
"Female","225"
"Male","195"
"Brahman - Tarai",""
"Female","28"
"Male","22"
"Chamar/ Harijan/ Ram",""
"Female","8"
"Male","7"
"Chhetri",""
"Female","8894"
"Male","6675"
"Dalit Others",""
"Female","865"
"Male","684"
"Damai/Dholi",""
"Female","568"
"Male","445"
"Kami",""
"Female","1414"
"Male","1090"
"Lohar",""
"Female","195"
"Male","142"
"Magar",""
"Female","15"
"Male","24"
"Newar",""
"Female","73"
"Male","63"
"Others",""
"Female","35"
"Male","33"
"Sanyasi/Dasnami",""
"Female","43"
"Male","27"
"Terai Others",""
"Female","7"
"Male","10"
