"Population by Educational Attainment","Number"
"Beginners",""
"Female","848"
"Male","939"
"Graduate and Equivalent",""
"Female","25"
"Male","124"
"Intermediate and Equivalent",""
"Female","151"
"Male","344"
"Level not Stated",""
"Female","19"
"Male","16"
"Lower Secondary (Class 6-8)",""
"Female","1299"
"Male","1581"
"Non Formal Education",""
"Female","223"
"Male","143"
"Others",""
"Female","11"
"Male","8"
"Post Graduate Equivalent and Above",""
"Female","3"
"Male","21"
"Primary Education (1-5 Class)",""
"Female","3929"
"Male","4201"
"Secondary Level (Class 9-10)",""
"Female","506"
"Male","736"
"SLC and Equivalent",""
"Female","373"
"Male","643"
