"Population by Mother tongue","Number"
"Achhami",""
"Female","1304"
"Male","1059"
"","2363"
"Bajureli",""
"Female","22"
"Male","27"
"","49"
"Dailekhi",""
"Female","10"
"Male","7"
"","17"
"Doteli",""
"Female","2160"
"Male","1826"
"","3986"
"Gurung",""
"Female","9"
"Male","6"
"","15"
"Hindi",""
"Female","69"
"Male","65"
"","134"
"Jumli",""
"Female","133"
"Male","128"
"","261"
"Kham",""
"Female","21"
"Male","27"
"","48"
"Magar",""
"Female","237"
"Male","220"
"","457"
"Maithili",""
"Female","586"
"Male","561"
"","1147"
"Nepali",""
"Female","5507"
"Male","4923"
"","10430"
"Not Reported",""
"Female","43"
"Male","42"
"","85"
"Others",""
"Female","20"
"Male","11"
"","31"
"Sign Language",""
"Female","6"
"Male","5"
"","11"
"Tharu",""
"Female","6894"
"Male","6738"
"","13632"
"Urdu",""
"Female","9"
"Male","8"
"","17"
