"Population by Single Year of Age","Number"
"0",""
"Female","391"
"Male","455"
"1",""
"Female","392"
"Male","423"
"10",""
"Female","713"
"Male","795"
"11",""
"Female","561"
"Male","563"
"12",""
"Female","783"
"Male","798"
"13",""
"Female","651"
"Male","615"
"14",""
"Female","668"
"Male","643"
"15",""
"Female","670"
"Male","636"
"16",""
"Female","698"
"Male","750"
"17",""
"Female","587"
"Male","563"
"18",""
"Female","799"
"Male","812"
"19",""
"Female","478"
"Male","390"
"2",""
"Female","522"
"Male","487"
"20",""
"Female","835"
"Male","695"
"21",""
"Female","435"
"Male","419"
"22",""
"Female","659"
"Male","630"
"23",""
"Female","445"
"Male","412"
"24",""
"Female","475"
"Male","410"
"25",""
"Female","727"
"Male","708"
"26",""
"Female","441"
"Male","433"
"27",""
"Female","394"
"Male","400"
"28",""
"Female","559"
"Male","571"
"29",""
"Female","233"
"Male","226"
"3",""
"Female","549"
"Male","523"
"30",""
"Female","677"
"Male","682"
"31",""
"Female","194"
"Male","210"
"32",""
"Female","377"
"Male","429"
"33",""
"Female","262"
"Male","223"
"34",""
"Female","279"
"Male","245"
"35",""
"Female","725"
"Male","710"
"36",""
"Female","241"
"Male","267"
"37",""
"Female","177"
"Male","185"
"38",""
"Female","370"
"Male","330"
"39",""
"Female","154"
"Male","137"
"4",""
"Female","548"
"Male","547"
"40",""
"Female","603"
"Male","659"
"41",""
"Female","147"
"Male","157"
"42",""
"Female","212"
"Male","248"
"43",""
"Female","176"
"Male","123"
"44",""
"Female","166"
"Male","102"
"45",""
"Female","505"
"Male","617"
"46",""
"Female","127"
"Male","140"
"47",""
"Female","113"
"Male","115"
"48",""
"Female","212"
"Male","195"
"49",""
"Female","72"
"Male","86"
"5",""
"Female","608"
"Male","648"
"50",""
"Female","383"
"Male","399"
"51",""
"Female","71"
"Male","79"
"52",""
"Female","111"
"Male","151"
"53",""
"Female","88"
"Male","67"
"54",""
"Female","93"
"Male","66"
"55",""
"Female","302"
"Male","354"
"56",""
"Female","88"
"Male","107"
"57",""
"Female","71"
"Male","64"
"58",""
"Female","174"
"Male","126"
"59",""
"Female","74"
"Male","54"
"6",""
"Female","628"
"Male","579"
"60",""
"Female","395"
"Male","385"
"61",""
"Female","81"
"Male","69"
"62",""
"Female","80"
"Male","84"
"63",""
"Female","76"
"Male","40"
"64",""
"Female","69"
"Male","56"
"65",""
"Female","279"
"Male","285"
"66",""
"Female","43"
"Male","41"
"67",""
"Female","42"
"Male","48"
"68",""
"Female","74"
"Male","85"
"69",""
"Female","35"
"Male","42"
"7",""
"Female","577"
"Male","648"
"70",""
"Female","193"
"Male","225"
"71",""
"Female","23"
"Male","26"
"72",""
"Female","42"
"Male","38"
"73",""
"Female","20"
"Male","21"
"74",""
"Female","17"
"Male","21"
"75",""
"Female","71"
"Male","99"
"76",""
"Female","17"
"Male","17"
"77",""
"Female","10"
"Male","20"
"78",""
"Female","22"
"Male","19"
"79",""
"Female","6"
"Male","7"
"8",""
"Female","633"
"Male","634"
"80",""
"Female","54"
"Male","48"
"81",""
"Female","4"
"Male","3"
"82",""
"Female","6"
"Male","3"
"83",""
"Female","2"
"Male","1"
"84",""
"Female","6"
"Male","2"
"85",""
"Female","37"
"Male","40"
"9",""
"Female","534"
"Male","522"
